LJ0038|بابو گوپینات نے جو|بابو گوپینات نے جو
LJ0039|خدا معلوم کیا سوچ رہا تھا چونکر کہا|خدا معلوم کیا سوچ رہا تھا چونکر کہا
LJ0040|ہاں ہاں ضرور تشریف لائیے منٹو صاحب|ہاں ہاں ضرور تشریف لائیے منٹو صاحب
LJ0041|پھر سینڈو سے پوچھا کیوں سینڈو|پھر سینڈو سے پوچھا کیوں سینڈو
LJ0042|کہ آپ کچھ اس کا شغل کرتے ہیں|کہ آپ کچھ اس کا شغل کرتے ہیں
LJ0043|عبد الرحیم سینڈو نے زور سے کہا لگایا|عبد الرحیم سینڈو نے زور سے کہا لگایا
LJ0044|ہر قسم کا شکریہ|ہر قسم کا شکریہ
LJ0045|شغل کرتے ہیں|شغل کرتے ہیں
LJ0046|تو منٹو صاحب آج شام کو ضرور آئیے گا میں نے بھی پینی شروع کر دی ہے|تو منٹو صاحب آج شام کو ضرور آئیے گا میں نے بھی پینی شروع کر دی ہے
LJ0047|اس لئے گموفت ملتی ہے|اس لئے گموفت ملتی ہے
LJ0048|سینڈو نے مجھے فلیٹ کا پتہ لکھا دیا جہاں میں حسب وعدہ شام کو چھے بجے کے قریب پہنچ گیا|سینڈو نے مجھے فلیٹ کا پتہ لکھا دیا جہاں میں حسب وعدہ شام کو چھے بجے کے قریب پہنچ گیا
LJ0049|تین کمرے کا صاف ستھرا فلیٹ تھا جس میں|تین کمرے کا صاف ستھرا فلیٹ تھا جس میں
LJ0050|بلکل نیا فرنیچر سجا ہوا تھا|بلکل نیا فرنیچر سجا ہوا تھا
LJ0051|سینڈو اور بابو گوپی نات کے علاوہ بیٹھنے والے کمرے میں دو مرد اور دو عورتیں موجود تھیں|سینڈو اور بابو گوپی نات کے علاوہ بیٹھنے والے کمرے میں دو مرد اور دو عورتیں موجود تھیں
LJ0052|جن سے سینڈو نے مجھے متعارف کرایا|جن سے سینڈو نے مجھے متعارف کرایا
LJ0053|ایک تا غفار سائیں تحمد|ایک تا غفار سائیں تحمد
LJ0054|پوش پنجاب کا ٹھیٹس آئیں|پوش پنجاب کا ٹھیٹس آئیں
LJ0055|گلے میں موٹے موٹے دانوں کی مالا|گلے میں موٹے موٹے دانوں کی مالا
LJ0056|سینڈو نے اس کے بارے میں کہا|سینڈو نے اس کے بارے میں کہا
LJ0057|آپ بابو گو پینات کے لیگل اڈوائزر ہیں|آپ بابو گو پینات کے لیگل اڈوائزر ہیں
LJ0058|میرا مطلب سمجھ جائیے آپ ہر آدمی جس کی ناک بہتی ہو یا جس کے موں میں سے لعاب نکلتا ہو|میرا مطلب سمجھ جائیے آپ ہر آدمی جس کی ناک بہتی ہو یا جس کے موں میں سے لعاب نکلتا ہو
LJ0059|پنجاب میں خدا کو پہنچا ہوا درویش بن جاتا ہے|پنجاب میں خدا کو پہنچا ہوا درویش بن جاتا ہے
LJ0060|یہ بھی بس پہنچے ہوئے ہیں یا پہنچنے والے ہیں|یہ بھی بس پہنچے ہوئے ہیں یا پہنچنے والے ہیں
LJ0061|لاہور سے بابو گوپینات کے ساتھ آئے ہیں کیونکہ انہیں وہاں اور کوئی بے وکوف ملنے کی امید نہیں تھی|لاہور سے بابو گوپینات کے ساتھ آئے ہیں کیونکہ انہیں وہاں اور کوئی بے وکوف ملنے کی امید نہیں تھی
LJ0062|یہاں اب بابو سے|یہاں اب بابو سے
LJ0063|صاحب سے کریون اے کے سگریٹ اور سکاچ وسکی کے پیگ پی کر دعا کرتے رہتے ہیں کہ انجام نیک ہو۔|صاحب سے کریون اے کے سگریٹ اور سکاچ وسکی کے پیگ پی کر دعا کرتے رہتے ہیں کہ انجام نیک ہو۔
LJ0064|غفار سائیں یہ سن کر مسکراتا رہا|غفار سائیں یہ سن کر مسکراتا رہا
LJ0065|دوسرے مرد کا نام تھا غلام علی|دوسرے مرد کا نام تھا غلام علی
LJ0066|لمبا ترنگا جوان کسرتی بدن|لمبا ترنگا جوان کسرتی بدن
LJ0067|مو پر چیچک کے داغ|مو پر چیچک کے داغ
LJ0068|اس کے مطالق سینڈو نے کہا یہ میرا شگرد ہے|اس کے مطالق سینڈو نے کہا یہ میرا شگرد ہے
LJ0069|اپنے استاد کے نقش قدم پر چل رہا ہے|اپنے استاد کے نقش قدم پر چل رہا ہے
LJ0070|لاہور کی ایک نامی طواف کی کماری لڑکی اس پر عاشق ہو گئی|لاہور کی ایک نامی طواف کی کماری لڑکی اس پر عاشق ہو گئی
LJ0071|بڑی بڑی کنٹی نیوٹلیاں ملائے گئیں اس کو فانسی کے لیے|بڑی بڑی کنٹی نیوٹلیاں ملائے گئیں اس کو فانسی کے لیے
LJ0072|مگر اس نے کہا|مگر اس نے کہا
LJ0073|do or die میں برہمچاری رہوں گا|do or die میں برہمچاری رہوں گا
LJ0074|ایک تقیئے میں بات چیت پیتے ہوئے بابو گوپی نات سے ملاقات ہو گئی|ایک تقیئے میں بات چیت پیتے ہوئے بابو گوپی نات سے ملاقات ہو گئی
LJ0075|بس اس دن سے ان کے ساتھ چمٹا ہوا ہے|بس اس دن سے ان کے ساتھ چمٹا ہوا ہے
LJ0076|ہر روز کریون ایک ڈبا اور کھانا پینا مقرر ہے|ہر روز کریون ایک ڈبا اور کھانا پینا مقرر ہے
LJ0077|یہ سن کر غلام علی بھی مسکرہ|یہ سن کر غلام علی بھی مسکرہ
LJ0078|رہا ترہا|رہا ترہا
LJ0079|گول چہرے والی ایک سرخ و سفید عورت تھی|گول چہرے والی ایک سرخ و سفید عورت تھی
LJ0080|کمرے میں داخل ہوتے ہی میں سمجھ گیا تھا کہ یہ وہی کوہ کاف کی پری ہے جس کے متعلق سینڈو نے دفتر میں ذکر کیا تھا|کمرے میں داخل ہوتے ہی میں سمجھ گیا تھا کہ یہ وہی کوہ کاف کی پری ہے جس کے متعلق سینڈو نے دفتر میں ذکر کیا تھا
LJ0081|بہت صاف ستری عورت تھی بال چھوٹے تھے ایسا لگتا تھا|بہت صاف ستری عورت تھی بال چھوٹے تھے ایسا لگتا تھا
LJ0082|کٹے ہوئے ہیں|کٹے ہوئے ہیں
LJ0083|مگر در حقیقت ایسا نہیں تھا|مگر در حقیقت ایسا نہیں تھا
LJ0084|آنکھیں شفاف اور چمکیلی تھیں|آنکھیں شفاف اور چمکیلی تھیں
LJ0085|چہرے کے خطوط سے ظاہر تھا کہ بے حد الہڑ اور ناتجربہ کار ہے|چہرے کے خطوط سے ظاہر تھا کہ بے حد الہڑ اور ناتجربہ کار ہے
LJ0086|سینڈو نے اس سے تعرف کراتے ہوئے کہا|سینڈو نے اس سے تعرف کراتے ہوئے کہا
LJ0087|زیند بیگم|زیند بیگم
LJ0088|ب...|ب...
LJ0089|بابو صاحب پیار سے زینو کہتے ہیں|بابو صاحب پیار سے زینو کہتے ہیں
LJ0090|ایک بڑی خران نائکہ کشمیر سے یہ سیب توڑ کر لاہور لے آئی|ایک بڑی خران نائکہ کشمیر سے یہ سیب توڑ کر لاہور لے آئی
LJ0091|بابو گوپی ناس کو اپنی سی آئی ڈی سے پتہ چلا اور ایک رات لے اڑے|بابو گوپی ناس کو اپنی سی آئی ڈی سے پتہ چلا اور ایک رات لے اڑے
LJ0092|مقدمہ بازی ہوئی آخر بابو صاحب نے مقدمہ جیت لی|مقدمہ بازی ہوئی آخر بابو صاحب نے مقدمہ جیت لی
LJ0093|اور اسے یہاں لے آئے|اور اسے یہاں لے آئے
LJ0094|دھرانتا|دھرانتا
LJ0095|اب گہرے ساملے رنگ کی عورت باقی رہ گئی تھی جو خاموش بیٹھی سگرٹ پی رہی تھی|اب گہرے ساملے رنگ کی عورت باقی رہ گئی تھی جو خاموش بیٹھی سگرٹ پی رہی تھی
LJ0096|آنکھیں سرخ تھیں جن سے کافی بے حیائے مترشہ تھی|آنکھیں سرخ تھیں جن سے کافی بے حیائے مترشہ تھی
LJ0097|بابو گوپی ناہ نے اس کی طرف اشارہ کیا اور سینڈو سے کہا|بابو گوپی ناہ نے اس کی طرف اشارہ کیا اور سینڈو سے کہا
LJ0098|ہاں|ہاں
LJ0099|اس کے متعلق بھی کچھ ہو جائے|اس کے متعلق بھی کچھ ہو جائے
LJ0100|سینڈو نے اس عورت کی بیٹ پر ہاتھ مارا اور کہا|سینڈو نے اس عورت کی بیٹ پر ہاتھ مارا اور کہا
LJ0101|جناب|جناب
LJ0102|یہ ہے تین ٹپوٹی فل فل فوٹی|یہ ہے تین ٹپوٹی فل فل فوٹی
LJ0103|مسز عبد الرحیم سینڈو اور|مسز عبد الرحیم سینڈو اور
LJ0104|سردار بیگم|سردار بیگم
LJ0105|آپ بھی لاہور کی پیداوار ہیں|آپ بھی لاہور کی پیداوار ہیں
LJ0106|سن چھتیس میں مجھ سے ایش کھوا|سن چھتیس میں مجھ سے ایش کھوا
LJ0107|دو برسوں ہی میں میرا دھڑن تختہ کر کے رکھ دیا میں لاہور چھوڑ کر بھاگا|دو برسوں ہی میں میرا دھڑن تختہ کر کے رکھ دیا میں لاہور چھوڑ کر بھاگا
LJ0108|بابو گوپی ناٹ نے اسے یہاں بلوا لیا ہے تاکہ میرا دل لگا رہے|بابو گوپی ناٹ نے اسے یہاں بلوا لیا ہے تاکہ میرا دل لگا رہے
LJ0109|اس کو بھی ایک ڈبا کریون ایک اراشن میں ملتا ہے|اس کو بھی ایک ڈبا کریون ایک اراشن میں ملتا ہے
LJ0110|ہر روز شان|ہر روز شان
LJ0111|ہم کو ڈھائی روپے کا مورفی کا ایجیکشن لیتی ہے رنگ کالا ہے|ہم کو ڈھائی روپے کا مورفی کا ایجیکشن لیتی ہے رنگ کالا ہے
LJ0112|مگر ویسے بڑی ٹٹ فٹیٹ قسم کی عورت ہے|مگر ویسے بڑی ٹٹ فٹیٹ قسم کی عورت ہے
LJ0113|سردار نے ایک عدا سے صرف اتنا کہا|سردار نے ایک عدا سے صرف اتنا کہا
LJ0114|بکواس نکار|بکواس نکار
LJ0115|ایسا دار میں پیشہ|ایسا دار میں پیشہ
LJ0116|اور عورت کی بناوٹ تھی|اور عورت کی بناوٹ تھی
LJ0117|سب سے متعارف کرانے کے بعد سینڈوں نے حسب عادت میری تعریفوں کے پل باندھنے شروع کر دیے|سب سے متعارف کرانے کے بعد سینڈوں نے حسب عادت میری تعریفوں کے پل باندھنے شروع کر دیے
LJ0118|میں نے کہا|میں نے کہا
LJ0119|چھوڑو یار آؤ کچھ باتیں کریں|چھوڑو یار آؤ کچھ باتیں کریں
LJ0120|سینڈو چلایا بوئی ویسکی ان سوڈا|سینڈو چلایا بوئی ویسکی ان سوڈا
LJ0121|بابو گوپی ناث لگاؤ ہوا ایک سبزے کو|بابو گوپی ناث لگاؤ ہوا ایک سبزے کو
LJ0122|بابو گوپی ناحت نے جیب میں ہاتھ ڈال کر سوسو کے نوٹوں کا ایک پلندہ نکالا|بابو گوپی ناحت نے جیب میں ہاتھ ڈال کر سوسو کے نوٹوں کا ایک پلندہ نکالا
LJ0123|اور ایک نوٹ سینڈو کے حوالے کر دیا|اور ایک نوٹ سینڈو کے حوالے کر دیا
LJ0124|سینڈو نے نوٹ لے کر اس کی طرف غور سے دیکھا اور کھڑ کھڑا کر کہا|سینڈو نے نوٹ لے کر اس کی طرف غور سے دیکھا اور کھڑ کھڑا کر کہا
LJ0125|ہاں|ہاں
LJ0126|Oh God|oh god
LJ0127|او میرے رب العالمین|او میرے رب العالمین
LJ0128|وہ دن کب آئے گا جب میں بھی لب لگا کر یوں نوٹ نکالا کروں گا|وہ دن کب آئے گا جب میں بھی لب لگا کر یوں نوٹ نکالا کروں گا
LJ0129|جاؤ بھئی غلام علی|جاؤ بھئی غلام علی
LJ0130|دو بوتلیں جانی واہ کر سٹل گوئنگ سٹرانگ کی لے آؤ|دو بوتلیں جانی واہ کر سٹل گوئنگ سٹرانگ کی لے آؤ
LJ0131|بوتلیں آئیں تو سب نے پینے کیا|بوتلیں آئیں تو سب نے پینے کیا
LJ0132|شروع کی|شروع کی
LJ0133|یہ شغل دو تین گھنٹے تک جاری رہا|یہ شغل دو تین گھنٹے تک جاری رہا
LJ0134|اس دوران میں سب سے زیادہ باتیں حسب معمول عبد الرحیم نے کی|اس دوران میں سب سے زیادہ باتیں حسب معمول عبد الرحیم نے کی
LJ0135|پہلا گلاس ایک ہی سانس میں ختم کر کے وہ چلایا|پہلا گلاس ایک ہی سانس میں ختم کر کے وہ چلایا
LJ0136|دھڑن تختہ منٹو صاحب وسکی ہو تو ایسی|دھڑن تختہ منٹو صاحب وسکی ہو تو ایسی
LJ0137|حلق سے اتر کر|حلق سے اتر کر
LJ0138|پیٹ میں انقلاب زندہ باد لکھتی چلی گئی ہے|پیٹ میں انقلاب زندہ باد لکھتی چلی گئی ہے
LJ0139|جیو بابو گوپی ناث جیو|جیو بابو گوپی ناث جیو
LJ0140|بابو گوپی نافت بچارہ خاموش رہا|بابو گوپی نافت بچارہ خاموش رہا
LJ0141|کبھی کبھی البتہ وہ سینڈو کی ہاں میں ہاں ملا دیتا تھا|کبھی کبھی البتہ وہ سینڈو کی ہاں میں ہاں ملا دیتا تھا
LJ0142|میں نے سوچا اس شخص کی اپنی رائے کوئی نہیں|میں نے سوچا اس شخص کی اپنی رائے کوئی نہیں
LJ0143|ہی ہے|ہی ہے
LJ0144|دوسرا جو بھی کہے مان لیتا ہے|دوسرا جو بھی کہے مان لیتا ہے
LJ0145|ضعیف الاعتقادی کا ثبوت غفار سائیں موجود تھا|ضعیف الاعتقادی کا ثبوت غفار سائیں موجود تھا
LJ0146|جسے وہ بقول سینڈو اپنا لیگل ایڈوائزر بنا کر لائیا تھا|جسے وہ بقول سینڈو اپنا لیگل ایڈوائزر بنا کر لائیا تھا
LJ0147|سینڈو کا اس سے دراصل یہ مطلب تھا|سینڈو کا اس سے دراصل یہ مطلب تھا
LJ0148|کہ بابو گوپینات کو اسے عقید|کہ بابو گوپینات کو اسے عقید
LJ0149|تھی|تھی
LJ0150|یوں بھی مجھے دوران گفتگو میں معلوم ہوا کہ لاہور میں اس کا اکثر وقت فقیروں اور درویشوں کی صحبت میں کٹتا تھا|یوں بھی مجھے دوران گفتگو میں معلوم ہوا کہ لاہور میں اس کا اکثر وقت فقیروں اور درویشوں کی صحبت میں کٹتا تھا
LJ0151|یہ چیز میں نے خاص طور پر نوٹ کی کہ وہ کھویا کھویا ستھا جیسے کچھ سوچ رہا ہے|یہ چیز میں نے خاص طور پر نوٹ کی کہ وہ کھویا کھویا ستھا جیسے کچھ سوچ رہا ہے
LJ0152|میں نے چونہا چاہو سے|میں نے چونہا چاہو سے
LJ0153|اکبر کہا|اکبر کہا
LJ0154|بابو گوپینات کیا سوچ رہے ہیں آپ|بابو گوپینات کیا سوچ رہے ہیں آپ
LJ0155|وہ چونگ پڑا جی میں|وہ چونگ پڑا جی میں
LJ0156|میں|میں
LJ0157|کوچھنا ہی|کوچھنا ہی
LJ0158|یہ کہہ کر وہ مسکرائی اور زینت کی طرف ایک آشکانہ نگاہ ڈالی|یہ کہہ کر وہ مسکرائی اور زینت کی طرف ایک آشکانہ نگاہ ڈالی
LJ0159|ان حسینوں کے متعلق سوچ رہا ہوں|ان حسینوں کے متعلق سوچ رہا ہوں
LJ0160|اور ہمیں کیا سوچ ہوگی|اور ہمیں کیا سوچ ہوگی
LJ0161|سینڈو نے کہا|سینڈو نے کہا
LJ0162|بڑے خانہ خراب ہیں یہ منٹو صاحب|بڑے خانہ خراب ہیں یہ منٹو صاحب
LJ0163|بڑے خانہ خراب ہیں|بڑے خانہ خراب ہیں
LJ0164|داہور کی کوئی ایسی تواف نہیں جس کے ساتھ بابو صاحب کی کنٹی ٹیوٹلی نہ رہ چکی ہو|داہور کی کوئی ایسی تواف نہیں جس کے ساتھ بابو صاحب کی کنٹی ٹیوٹلی نہ رہ چکی ہو
LJ0165|بابو گوپی ناہ نے یہ سن کر بڑے بھونڈے انکسار کے ساتھ کہا|بابو گوپی ناہ نے یہ سن کر بڑے بھونڈے انکسار کے ساتھ کہا
LJ0166|اب مجھ میں وہ دم نہیں منٹو صاحب|اب مجھ میں وہ دم نہیں منٹو صاحب
LJ0167|اس کے بعد واحیات گفتگو شروع ہو گئی|اس کے بعد واحیات گفتگو شروع ہو گئی
LJ0168|لاہور کی توافوں کے سب گھرانے گنے گئے کون ڈیرہ دار تھی|لاہور کی توافوں کے سب گھرانے گنے گئے کون ڈیرہ دار تھی
LJ0169|کون نٹری تھی|کون نٹری تھی
LJ0170|کون کس کی نوچی تھی نتنی اتارنے کا بابو گوپی ناث نے کیا دیا تھا وغیرہ وغیرہ|کون کس کی نوچی تھی نتنی اتارنے کا بابو گوپی ناث نے کیا دیا تھا وغیرہ وغیرہ
LJ0171|یہ گفتگو سردار سینڈو غفار سائیں اور غلام علی کے درمیان ہوتی رہی|یہ گفتگو سردار سینڈو غفار سائیں اور غلام علی کے درمیان ہوتی رہی
LJ0172|ٹھیٹ لاہور کے کوٹھوں کی زبان میں|ٹھیٹ لاہور کے کوٹھوں کی زبان میں
LJ0173|مطلب تو میں سمجھتا رہا|مطلب تو میں سمجھتا رہا
LJ0174|مگر بعض اسطلاحیں سمجھ میں نہ آئیں|مگر بعض اسطلاحیں سمجھ میں نہ آئیں
LJ0175|زینت بلکل خاموش بیٹھی رہی کبھی کبھی کسی بات پر مسکرا دیتی|زینت بلکل خاموش بیٹھی رہی کبھی کبھی کسی بات پر مسکرا دیتی
LJ0176|مگر مجھے ایسا محسوس ہوا کہ اسے اس گفتگو سے کوئی دلچسپی نہیں تھی|مگر مجھے ایسا محسوس ہوا کہ اسے اس گفتگو سے کوئی دلچسپی نہیں تھی
LJ0177|ہلکی ویسکی کا ایک گلاس بھی|ہلکی ویسکی کا ایک گلاس بھی
LJ0178|س Australیٹ وہاprises|س australیٹ وہاprises
LJ0179|بغیر کسی دلچسپی کے|بغیر کسی دلچسپی کے
LJ0180|سگریٹ بھی پیتی تھی تو معلوم ہوتا تھا اسے تمباکو اور اس کے دھویں سے کوئی رغبت نہیں|سگریٹ بھی پیتی تھی تو معلوم ہوتا تھا اسے تمباکو اور اس کے دھویں سے کوئی رغبت نہیں
LJ0181|لیکن لطف یہ ہے|لیکن لطف یہ ہے
LJ0182|کہ سب سے زیادہ سگریٹ اسی نے پیئے|کہ سب سے زیادہ سگریٹ اسی نے پیئے
LJ0183|بابو گوپینات سے اسے محبت تھی|بابو گوپینات سے اسے محبت تھی
LJ0184|اس کا پتا مجھے کیسی|اس کا پتا مجھے کیسی
LJ0185|بارצین המילה|بارצین המילה
LJ0186|البتہ ظاہر تھا کہ بابو گوپی نات کو اس کا کافی خیال تھا|البتہ ظاہر تھا کہ بابو گوپی نات کو اس کا کافی خیال تھا
LJ0187|کیونکہ زینت کی آسائش کے لیے ہر سامان مہیا تھا|کیونکہ زینت کی آسائش کے لیے ہر سامان مہیا تھا
LJ0188|لیکن ایک بات مجھے محسوس ہوئی کہ ان دونوں میں کچھ عجیب سکھیں جاؤ تھا|لیکن ایک بات مجھے محسوس ہوئی کہ ان دونوں میں کچھ عجیب سکھیں جاؤ تھا
LJ0189|میرا مطلب ہے وہ دونوں ایک دوسرے کے|میرا مطلب ہے وہ دونوں ایک دوسرے کے
LJ0190|قریب ہونے کی بجائے کچھ ہٹے ہوئے سے معلوم ہوتے تھے|قریب ہونے کی بجائے کچھ ہٹے ہوئے سے معلوم ہوتے تھے
LJ0191|آٹھ بجے کے قریب سردار|آٹھ بجے کے قریب سردار
LJ0192|ڈاکٹر مجید کے ہاں چلی گئی کیونکہ اسے مورفیا کا انجیکشن لینا تھا|ڈاکٹر مجید کے ہاں چلی گئی کیونکہ اسے مورفیا کا انجیکشن لینا تھا
LJ0193|غفار سائن تین پیک پینے کے بعد اپنی تسبیح اٹھا کر کالین پر سو گیا|غفار سائن تین پیک پینے کے بعد اپنی تسبیح اٹھا کر کالین پر سو گیا
LJ0194|غلام علی کو ہوتل سے کھانا لینے کے لیے بھیج دیا گیا|غلام علی کو ہوتل سے کھانا لینے کے لیے بھیج دیا گیا
LJ0195|سینڈو نے اپنی دلچسپ بکواس جب کچھ عرصے کے لیے بند کی|سینڈو نے اپنی دلچسپ بکواس جب کچھ عرصے کے لیے بند کی
LJ0196|تو بابو گوپی ناث نے جو اب نشے میں تھا|تو بابو گوپی ناث نے جو اب نشے میں تھا
LJ0197|زینت کی طرف وہی آشکانہ نگاہ ڈال کر کہا|زینت کی طرف وہی آشکانہ نگاہ ڈال کر کہا
LJ0198|منٹو صاحب|منٹو صاحب
LJ0199|میری زیادہ|میری زیادہ
LJ0200|حینت کے مطالق آپ کا کیا خیال ہے|حینت کے مطالق آپ کا کیا خیال ہے
LJ0201|میں نے سوچا کیا کہوں|میں نے سوچا کیا کہوں
LJ0202|زینت کی طرف دیکھا تو وہ جھیم سی گئی|زینت کی طرف دیکھا تو وہ جھیم سی گئی
LJ0203|میں نے ایسے ہی کہہ دیا بڑا نیک خیال ہے|میں نے ایسے ہی کہہ دیا بڑا نیک خیال ہے
LJ0204|بابو گوپינת خوش ہوگیا|بابو گوپינת خوش ہوگیا
LJ0205|منٹو صاحب ہے بھی بڑی|منٹو صاحب ہے بھی بڑی
LJ0206|ماری نیک لوگ خدا کی قسم نہ زیور کا شوق ہے نہ کسی اور چیز کا|ماری نیک لوگ خدا کی قسم نہ زیور کا شوق ہے نہ کسی اور چیز کا
LJ0207|میں نے کئی بار کہا جان من|میں نے کئی بار کہا جان من
LJ0208|مکان بنوادو؟|مکان بنوادو؟
LJ0209|جواب کیا دیا معلوم ہے آپ کو|جواب کیا دیا معلوم ہے آپ کو
LJ0210|کیا کروں گی مکان لے کر؟|کیا کروں گی مکان لے کر؟
LJ0211|میرا کون ہے؟|میرا کون ہے؟
LJ0212|من تو صاحب|من تو صاحب
LJ0213|موٹر کتنے میں آ جائے گی|موٹر کتنے میں آ جائے گی
LJ0214|میں نے کہا مجھے معلوم نہیں|میں نے کہا مجھے معلوم نہیں
LJ0215|بابو گوپی ناحت نے تاجب سے کہا|بابو گوپی ناحت نے تاجب سے کہا
LJ0216|کیا بات کرتے ہیں آپ منٹو صاحب آپ کو اور کاروں کی قیمت معلوم نہ ہو|کیا بات کرتے ہیں آپ منٹو صاحب آپ کو اور کاروں کی قیمت معلوم نہ ہو
LJ0217|کل چلیئے میرے ساتھ زینوں کے لئے ایک مرد|کل چلیئے میرے ساتھ زینوں کے لئے ایک مرد
LJ0218|لیں گے|لیں گے
LJ0219|میں نے اب دیکھا ہے کہ بمبئی میں موٹر ہونی ہی چاہیے|میں نے اب دیکھا ہے کہ بمبئی میں موٹر ہونی ہی چاہیے
LJ0220|زینت کا چہرہ رد عمل سے خالی رہا|زینت کا چہرہ رد عمل سے خالی رہا
